,link,meal-category,ingredients,total-time,servings,cook-time,prep-time
0,https://www.allrecipes.com/recipe/63912/korean-cucumber-salad,['SALAD'],"['¼ cup white vinegar', '¼ teaspoon black pepper', '½ teaspoon red pepper flakes', '1 teaspoon vegetable oil', '2 tablespoons sesame seeds', '1 cucumber, thinly sliced', '½ green onion, sliced', '½ carrot, julienned']",['25 mins'],['2'],['5 mins'],['20 mins']
1,https://www.allrecipes.com/recipe/18008/pork-apple-burgers,['MEAT AND POULTRY'],"['2 pounds ground pork', '1 Granny Smith apple - peeled, cored and chopped', '1 sweet onion, finely chopped', '3 cloves garlic, minced', '¼ cup teriyaki sauce', '1 egg', '8 hamburger buns', '1 (20 ounce) can sliced pineapple, drained']",['30 mins'],['8'],['10 mins'],['20 mins']
2,https://www.allrecipes.com/recipe/222593/pan-fried-chicken-with-spinach-and-pine-nuts,['ITALIAN'],"['1 cup brown rice', '2 cups water', '1 tablespoon olive oil', '4 skinless, boneless chicken breast halves, pounded 1/2-inch thick', 'coarse salt to taste', '2 tablespoons olive oil', '2 cloves garlic, chopped', '1 pinch red pepper flakes, or to taste', '1 bunch fresh spinach leaves, trimmed and rinsed', '2 tablespoons pine nuts', '2 tablespoons crumbled goat cheese', '½ lemon, juiced']",['1 hr'],['4'],['45 mins'],['15 mins']
3,https://www.allrecipes.com/recipe/259737/vegan-pumpkin-cheesecake-with-gingersnap-pecan-crust,['CAKES'],"['1 cup finely chopped pecans', '1 cup crushed vegan gingersnap cookies', '3 tablespoons margarine, melted', '1 pound non-dairy cream cheese', '1 (15 ounce) can pumpkin puree', '1 cup white sugar', '½ (12 ounce) package silken tofu, drained', '3 tablespoons unbleached all-purpose flour', '1 ½ teaspoons ground cinnamon', '½ teaspoon ground nutmeg', '½ teaspoon ground ginger', '¼ teaspoon ground cloves', '¼ teaspoon baking soda', '⅛ teaspoon salt, or to taste']",['6 hrs 30 mins'],['7 hrs 40 mins'],['50 mins'],['20 mins']
4,https://www.allrecipes.com/recipe/8358/apple-cake-iv,['DESSERTS'],"['5 apples - peeled, cored and sliced', '2 cups all-purpose flour', '½ teaspoon salt', '4 teaspoons ground cinnamon', '4 teaspoons baking powder', '4 large eggs', '2 cups white sugar', '1 cup vegetable oil', '2 teaspoons vanilla extract', '1 cup chopped walnuts', '4 teaspoons white sugar', '1 teaspoon ground cinnamon']",['1 hr 15 mins'],['24'],['50 mins'],['25 mins']
5,https://www.allrecipes.com/recipe/275679/air-fryer-mushrooms,['SIDE DISH'],"['1 (8 ounce) package cremini mushrooms, halved or quartered', '2 tablespoons avocado oil', '1 teaspoon low-sodium soy sauce (such as Bragg®)', '½ teaspoon garlic granules', 'salt and ground black pepper to taste']",['15 mins'],['2'],['10 mins'],['5 mins']
6,https://www.allrecipes.com/recipe/236378/roasted-tomato-soup,['SOUP RECIPES'],"['3 pounds roma (plum) tomatoes, quartered', '1 yellow onion, halved and quartered', '½ red bell pepper, chopped', '3 tablespoons olive oil', '1 tablespoon sea salt', '1 ½ teaspoons freshly ground black pepper', '3 cloves garlic, halved', '5 cups low-sodium chicken broth', '2 teaspoons dried basil', '1 teaspoon dried parsley']",['1 hr'],['6'],['50 mins'],['10 mins']
7,https://www.allrecipes.com/recipe/57459/oven-scrambled-eggs,['BREAKFAST AND BRUNCH'],"['½ cup butter, melted', '24 large eggs', '2 ¼ teaspoons salt', '2 ½ cups milk']",['30 mins'],['12'],['20 mins'],['10 mins']
8,https://www.allrecipes.com/recipe/269890/air-fryer-roasted-veggies,['VEGETABLES'],"['½ cup diced zucchini', '½ cup diced summer squash', '½ cup diced mushrooms', '½ cup diced cauliflower', '½ cup diced asparagus', '½ cup diced sweet red pepper', '2 teaspoons vegetable oil', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '1/4 teaspoon seasoning, or more to taste']",['30 mins'],['4'],['10 mins'],['20 mins']
9,https://www.allrecipes.com/recipe/280901/chef-johns-salisbury-steak,['MAIN DISHES'],"['1 pound 85% lean ground beef', '½ cup plain bread crumbs', '1 large egg, beaten', '2 tablespoons ketchup', '1 tablespoon Worcestershire sauce', '1 teaspoon dry mustard', '1 teaspoon soy sauce', '½ teaspoon freshly ground black pepper', '1 pinch cayenne pepper, or to taste', '2 tablespoons salted butter', '2 tablespoons salted butter', '12 large white button mushrooms, sliced', '1 cup diced onion', 'salt to taste', '2 tablespoons all-purpose flour', '3 cups high-quality, low-sodium beef broth', '2 tablespoons ketchup', '1 tablespoon Worcestershire sauce']",['2 hrs'],['2 hrs 35 mins'],['15 mins'],['20 mins']
10,https://www.allrecipes.com/recipe/214724/coffee-jelly,['GLOBAL CUISINES'],"['2 tablespoons hot water', '1 (.25 ounce) package unflavored gelatin', '2 cups fresh brewed coffee', '3 tablespoons white sugar']",['6 hrs'],['6 hrs 10 mins'],['5 mins'],['5 mins']
11,https://www.allrecipes.com/recipe/244767/cinnamon-roll-pancakes,['BREAKFAST AND BRUNCH'],"['¾ cup milk', '2 tablespoons white distilled vinegar', '1 cup all-purpose flour', '2 tablespoons white sugar', '1 teaspoon baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '1 large egg', '2 tablespoons butter, melted', '1 ½ teaspoons vanilla extract', '5 ½ tablespoons packed brown sugar', '¼ cup butter, melted', '1 ½ teaspoons ground cinnamon', '¼ cup butter, softened', '2 ounces cream cheese, at room temperature', ""¾ cup confectioners' sugar"", '½ teaspoon vanilla extract', 'cooking spray']",['15 mins'],['55 mins'],['10 mins'],['30 mins']
12,https://www.allrecipes.com/recipe/14968/bacon-wrapped-water-chestnuts-iii,['APPETIZERS AND SNACKS'],"['2 cups ketchup', '1 cup packed brown sugar', '2 tablespoons Worcestershire sauce', '1 pound bacon', '2 (8 ounce) cans water chestnuts, drained']",['55 mins'],['9'],['40 mins'],['15 mins']
13,https://www.allrecipes.com/recipe/173309/classic-caramel-corn,['CANDY RECIPES'],"['Mazola Pure Cooking Spray', '4 quarts popped popcorn', '1 cup brown sugar', '½ cup Karo Light or Dark Corn Syrup', '½ cup butter', '½ teaspoon salt', '1 teaspoon Spice Islands Pure Vanilla Extract', '½ teaspoon baking soda']",['1 hr'],['8'],['45 mins'],['15 mins']
14,https://www.allrecipes.com/recipe/285159/easy-peach-cobbler-with-canned-peaches,['DESSERTS'],"['2 (29 ounce) cans sliced peaches in juice', '2 cups all-purpose flour', '1 cup sugar', '¾ cup unsalted butter, softened', '1 cup chopped pecans']",['55 mins'],['16'],['45 mins'],['10 mins']
15,https://www.allrecipes.com/recipe/16239/easy-slow-cooker-french-dip,['MAIN DISHES'],"['4 pounds rump roast', '1 (12 fluid ounce) can or bottle beer', '1 (10.5 ounce) can condensed French onion soup', '1 (10.5 ounce) can beef broth', '9 French bread rolls', '2 tablespoons butter']",['7 hrs 10 mins'],['9'],['7 hrs'],['10 mins']
