1,1,pound,ground chicken breast 
1,1,NULL,"red onion, halved and thinly sliced "
1,0,cups,"Â¼ sliced scallions, white parts only "
1,1,NULL,"lime, juiced "
1,0.125,cups,chopped fresh cilantro 
1,0.0625,cups,finely chopped fresh mint (Optional) 
1,0.042,cups,minced fresh ginger 
1,0.021,cups,lemongrass paste (Optional) 
1,0.021,cups,"fish sauce, more to taste "
1,0.021,cups,"red pepper flakes, more to taste "
1,0,NULL,salt to taste 
2,1,NULL,(9-inch) deep-dish unbaked pie crust 
2,6,NULL,slices bacon 
2,1,NULL,"onion, chopped "
2,1,cups,Â½ milk 
2,3,NULL,"large eggs, beaten "
2,0.0,cups,Â¼ salt 
2,1,cups,Â½ shredded Swiss cheese 
2,0.0625,cups,all-purpose flour 
3,1,cups,rolled oats 
3,1,cups,Â¼ boiling water 
3,0,cups,Â½ butter 
3,1,cups,white sugar 
3,1,cups,packed brown sugar 
3,2,NULL,large eggs 
3,1,cups,â…“ all-purpose flour 
3,0.021,cups,baking soda 
3,0.0,cups,Â½ salt 
3,0.021,cups,ground cinnamon 
3,0.0,cups,Â½ ground nutmeg 
3,0.021,cups,vanilla extract 
3,0.375,cups,melted butter 
3,1,cups,Â½ packed brown sugar 
3,0,cups,Â¾ evaporated milk 
3,1,cups,Â½ flaked coconut 
3,1,cups,Â½ chopped walnuts 
3,0.021,cups,vanilla extract 
4,2,NULL,large eggs 
4,0.125,cups,Italian seasoning 
4,0.042,cups,chopped fresh basil 
4,0.021,cups,salt 
4,0.021,cups,ground black pepper 
4,0.021,cups,garlic powder 
4,2,pounds,ground beef 
4,0,cups,Â½ panko bread crumbs 
5,1,NULL,(15 ounce) can pumpkin puree 
5,1,NULL,(14 ounce) can sweetened condensed milk 
5,2,NULL,egg yolks 
5,0.021,cups,ground cinnamon 
5,0.0,cups,Â½ ground ginger 
5,0.0,cups,Â½ ground nutmeg 
5,0.0,cups,Â½ salt 
5,2,NULL,egg whites 
5,1,NULL,(9 inch) unbaked pie shell 
5,0.125,cups,all-purpose flour 
5,0,cups,Â¼ packed brown sugar 
5,0.021,cups,ground cinnamon 
5,0.125,cups,"butter, chilled "
5,1,cups,chopped walnuts 
6,3,cups,sifted all-purpose flour 
6,0.021,cups,Â½ baking powder 
6,0.0,cups,Â½ salt 
6,1,cups,white sugar 
6,1,cups,butter 
6,1,NULL,"egg, lightly beaten "
6,0.1875,cups,heavy cream 
6,0.021,cups,vanilla extract 
7,1,cups,white sugar 
7,1,cups,"butter, softened "
7,2,NULL,large eggs 
7,0,cups,Â½ orange juice 
7,2,cups,all-purpose flour 
7,0.021,cups,baking powder 
7,1.5,cups,golden raisins 
7,1.0,cups,halved glace cherries 
8,4,NULL,"large Yukon Gold potatoes, quartered "
8,0.375,cups,"butter, divided "
8,1,NULL,"clove garlic, minced "
8,0,NULL,salt and freshly ground black pepper to taste 
8,0.0625,cups,olive oil 
8,1,pound,lean ground beef 
8,0.0625,cups,herbes de Provence 
8,0.021,cups,ground nutmeg 
8,1,cups,Â½ frozen peas 
9,0,cups,Â½ butter (Judges 5:25) 
9,1,cups,Â½ white sugar (Jeremiah 6:20) 
9,3,NULL,eggs (Isaiah 10:14) 
9,2,cups,all-purpose flour (1 Kings 4:22) 
9,0.042,cups,baking powder (Luke 13:21) 
9,0.021,cups,ground cinnamon (1 Kings 10:10) 
9,0.021,cups,ground mace (1 Kings 10:10) 
9,0.021,cups,ground cloves (1 Kings 10:10) 
9,0.0,cups,Â½ salt (Leviticus 2:13) 
9,0,cups,Â½ water (Genesis 43:24) 
9,0.0625,cups,honey (Proverbs 24:13) 
9,1,cups,figs (1 Samuel 30:11) 
9,1,cups,raisins (1 Samuel 30:11) 
9,0,cups,Â½ almonds (Genesis 43:11) 
10,1,NULL,"(8 ounce) package crescent roll dough, unrolled and divided into triangles "
10,1,NULL,(8 ounce) package reduced-fat cream cheese 
10,0,cups,Â¼ light sour cream 
10,0,cups,Â¼ light mayonnaise-style salad dressing (such as Miracle WhipÂ®) 
10,0.1875,cups,dry ranch dressing mix 
10,0,cups,Â¼ diced red bell pepper 
10,0,cups,Â¼ finely chopped broccoli florets 
10,0,cups,â…“ shredded Cheddar cheese 
11,1,cups,butter 
11,1,cups,packed brown sugar 
11,0,cups,Â½ white sugar 
11,0.021,cups,vanilla extract 
11,2,NULL,large eggs 
11,2,cups,Â½ all-purpose flour 
11,0.021,cups,baking soda 
11,0.021,cups,salt 
11,2,cups,semisweet chocolate chips 
12,2,cups,instant rice 
12,0,cups,Â¼ butter 
12,0,cups,Â¾ chopped onion 
12,2,NULL,(10 ounce) packages frozen chopped broccoli 
12,2,NULL,(10.5 ounce) cans condensed cream of mushroom soup 
12,1,NULL,(16 ounce) jar process cheese sauce 
12,0,NULL,salt to taste 
12,0,NULL,ground black pepper to taste 
13,1,pound,cubed beef stew meat 
13,1,NULL,(10.5 ounce) can condensed golden mushroom soup 
13,0,cups,Â½ chopped onion 
13,0,cups,Â¼ water 
13,0.0625,cups,Worcestershire sauce 
13,0.5,cups,"cream cheese, softened "
14,1,pound,red potatoes 
14,1,pound,Yukon Gold (yellow) potatoes 
14,1.5,cups,baby carrots 
14,4,NULL,cloves garlic 
14,1,NULL,"fresh jalapeÃ±o chile pepper, sliced "
14,1,NULL,"(10 ounce) package frozen white corn, thawed "
14,0,cups,Â¼ butter 
14,0,cups,Â½ shredded Cheddar cheese 
14,0,NULL,salt and ground black pepper to taste 
15,1,NULL,"(8 ounce) package cream cheese, softened "
15,1,cups,sour cream 
15,2,NULL,(16 ounce) cans refried beans 
15,1,NULL,(8 ounce) package shredded Cheddar cheese 
15,1,NULL,(8 ounce) package shredded Monterey Jack cheese 
15,0,cups,Â¼ chopped green onions 
15,0.125,cups,dried parsley 
15,0,NULL,Â½ (1 ounce) package taco seasoning mix 
15,5,NULL,drops hot pepper sauce 
16,0.25,cups,vegetable oil 
16,1,NULL,"green bell pepper, chopped "
16,1,NULL,"yellow onion, chopped "
16,2,pounds,Â½ lean ground beef 
16,0,cups,â…” red wine 
16,2,NULL,beef bouillon cubes 
16,2,NULL,"(16 ounce) cans whole peeled tomatoes, chopped, juice reserved "
16,1,NULL,(12 ounce) can tomato paste 
16,2,NULL,"garlic cloves, crushed "
16,0.125,cups,dried parsley 
16,0.042,cups,Â½ dried basil 
16,0.042,cups,Â½ chili powder 
16,0.021,cups,Â½ paprika 
16,0.021,cups,cayenne pepper 
16,0.0,cups,Â½ dried oregano 
16,0.021,cups,salt 
16,0.0,cups,Â½ black pepper 
16,1,NULL,"(15 ounce) can kidney beans, drained "
16,12,NULL,drops hot pepper sauce (e.g. Tabasco) 
16,0.1875,cups,flour 
16,0.1875,cups,corn meal 
16,0,cups,Â½ water 
17,3,NULL,"medium russet potatoes, cubed "
17,0.1875,cups,butter or margarine 
17,0,NULL,salt and ground black pepper to taste 
18,0.0,cups,"Â¾ olive oil, divided "
18,1,NULL,"clove garlic, minced "
18,0,cups,â…“ packed brown sugar 
18,0,cups,Â¼ soy sauce 
18,0,NULL,"Â½ lemon, juiced "
18,0.021,cups,honey 
18,0.0,cups,"Â¼ sea salt, plus more for garnish "
18,0.0,cups,"Â¼ ground black pepper, plus more for garnish "
18,0.0,cups,Â¼ red pepper flakes 
18,4,NULL,(6 ounce) fillets salmon 
18,0.0625,cups,olive oil 
19,6,NULL,"cloves garlic, peeled, divided "
19,0.75,cups,mayonnaise 
19,0.375,cups,"grated Parmesan cheese, divided "
19,5,NULL,"anchovy fillets, minced "
19,0.0625,cups,"lemon juice, or more to taste "
19,0.021,cups,Worcestershire sauce 
19,0.021,cups,Dijon mustard 
19,0,NULL,salt and freshly ground black pepper to taste 
19,0.25,cups,olive oil 
19,4,cups,"day-old bread, cubed "
19,1,NULL,"head romaine lettuce, torn into bite-sized pieces "
20,0.0625,cups,olive oil 
20,2,cups,chopped onion 
20,2,cups,chopped carrot 
20,2,cups,finely chopped celery 
20,0.021,cups,Â½ minced garlic 
20,1,cups,yellow split peas 
20,1,cups,green split peas 
20,8,cups,fat-free chicken broth 
20,0.021,cups,Â½ salt-free seasoning blend 
20,0.021,cups,salt 
